Cluster,Impulse,Duplex-Bits verarbeitet,BER Richtung A,BER Richtung B,BER Duplex gesamt,selbstbewusst falsche Bits,mittlerer lokaler Rang,"mittleres Informationsvolumen [bit, Gauß-Proxy]",Freigaberate Moden [%],Kernzustand Speicher [MiB],Laufzeit [s],Software-Durchsatz [Mbit/s]
128,24,49152,0.0059814453125,0.0054931640625,0.0057373046875,148,8.0,10.939781554986988,18.650309244791668,0.140625,0.3453552210000055,0.1423230257173359
256,24,98304,0.00494384765625,0.00445556640625,0.00469970703125,223,8.0,10.947285915810625,18.5699462890625,0.28125,0.6363122270000048,0.1544901949526726
1140,24,437760,0.005052997076023392,0.005400219298245614,0.005226608187134503,971,8.0,10.944282747261076,18.583241959064328,1.25244140625,2.608480516,0.16782184007695305
