m_j,r,vorhergesagt (analytisch),simuliert (Monte-Carlo),rel. Abweichung [%]
1.0,5.0,0.0031830988618379067,0.003176,0.22301732198816573
1.0,10.0,0.0007957747154594767,0.0008195,2.9814071846734262
1.0,20.0,0.00019894367886486917,0.0001905,4.244255918583104
2.0,5.0,0.006366197723675813,0.0062995,1.0476853935554802
2.0,10.0,0.0015915494309189533,0.0015665,1.573902163031779
2.0,20.0,0.00039788735772973834,0.000427,7.316805046627344
4.0,5.0,0.012732395447351627,0.0128985,1.304582105819873
4.0,10.0,0.0031830988618379067,0.003209,0.8137082536964674
4.0,20.0,0.0007957747154594767,0.0007845,1.4168225303522821
