Ebene,Richtung,Zaehlerstand,Omega^Ebene,effektives SNR [linear],BER Duplex gesamt,selbstbewusst falsche Bits,Freigaberate Moden [%],"mittleres Informationsvolumen [bit, Gauss-Proxy]",6x8-Readout ||D*Zustand|| (Mittel)
-2,innen (Brennpunkt),010,0.012345679012345678,0.04914903340166632,0.21204969618055555,132,0.4611545138888889,0.46863677878230603,5.418380044549403
-1,innen (Brennpunkt),020,0.1111111111111111,0.4423413006149969,0.017008463541666668,8,0.5859375,3.054934052492276,3.5730575129368183
0,Kern,030,1.0,3.9810717055349722,0.0,0,0.5615234375,10.96151495970502,3.3365881787233502
1,aussen (Expansion),040,9.0,35.82964534981475,0.0,0,0.7595486111111112,22.61518572169229,3.2990403297485233
2,aussen (Expansion),050,81.0,322.46680814833275,0.0,0,0.7975260416666666,35.15957874012645,3.2940433741351516
